module,type,name,res_id,src,value,comments
hubi,model,"mail.template,body_html",hubi.email_template_accounting_transfer,"
<p>Dear,
You have been invited to transfer your writting from  ${object.date_start[8:10]}-${object.date_start[5:7]}-${object.date_start[0:4]} to  ${object.date_end[8:10]}-${object.date_end[5:7]}-${object.date_end[0:4]}
 in your accounting.
<br/>
Best regards,
<br/>
${object.create_uid.signature | safe}
</p>
","
<p>Dear,
You have been invited to transfer your writting from  ${object.date_start[8:10]}-${object.date_start[5:7]}-${object.date_start[0:4]} to  ${object.date_end[8:10]}-${object.date_end[5:7]}-${object.date_end[0:4]}
 in your accounting.
<br/>
Best regards,
<br/>
${object.create_uid.signature | safe}
</p>
",
hubi,model,"mail.template,body_html",hubi.email_template_invoice,"
<p>Dear,
Your invoices.
<br/>
Best regards,
<br/>
${object.create_uid.signature | safe}
</p>
","
<p>Dear,
Your invoices.
<br/>
Best regards,
<br/>
${object.create_uid.signature | safe}
</p>
",
hubi,model,"mail.template,body_html",hubi.email_template_sale_order,"
<p>Dear,
Your sale orders.
<br/>
Best regards,
<br/>
${object.create_uid.signature | safe}
</p>
","
<p style=""margin:0px 0px 9px 0px;font-size:13px;font-family:&quot;Lucida Grande&quot;, Helvetica, Verdana, Arial, sans-serif;"">Dear,
Your sale orders.
<br>
Best regards,
<br>
${object.create_uid.signature | safe}
</p>
",
hubi,model,"ir.model.fields,field_description",hubi.field_sale_report_carrier_nbr,# of Lines,Nb. de lignes,
hubi,model,"ir.ui.view,arch_db",hubi.report_partner_list_address,&amp;bull;,&amp;bull;,
hubi,model,"ir.ui.view,arch_db",hubi.report_partner_sheet_address,&amp;bull;,&amp;bull;,
hubi,model,"ir.ui.view,arch_db",hubi.report_saleorder_hubi_document,&amp;bull;,&amp;bull;,
hubi,model,"ir.ui.view,arch_db",hubi.report_invoice_document_hubi,&amp;nbsp;<span>on</span>,&amp;nbsp;<span>sur</span>,
hubi,model,"ir.ui.view,arch_db",hubi.report_saleorder_hubi_document,&amp;nbsp;<span>on</span>&amp;nbsp;,&amp;nbsp;<span>sur</span>&amp;nbsp;,
hubi,model,"ir.ui.view,arch_db",hubi.view_partner_establishment,(edit),(éditer),
hubi,model,"ir.ui.view,arch_db",hubi.hubi_product_template_form_inherited,"<span attrs=""{'invisible':[('type', 'not in', ['product', 'consu'])]}"">kg</span>","<span attrs=""{'invisible':[('type', 'not in', ['product', 'consu'])]}"">kg</span>",
hubi,model,"ir.ui.view,arch_db",hubi.hubi_product_template_form_inherited,"<span attrs=""{'invisible':[('type', 'not in', ['product', 'consu'])]}"">m³</span>","<span attrs=""{'invisible':[('type', 'not in', ['product', 'consu'])]}"">m³</span>",
hubi,model,"ir.ui.view,arch_db",hubi.report_saleorder_hubi_document,<span>Pro-Forma Invoice # </span>,<span>Facture pro-forma n° </span>,
hubi,model,"ir.ui.view,arch_db",hubi.report_invoice_document_with_payments_hubi,<strong>Amount Due</strong>,<strong>Montant dû</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_saleorder_hubi_document,<strong>Carrier:</strong>,<strong>Transporteur:</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_invoice_document_hubi,<strong>Code FRS :</strong>,<strong>Code FRS :</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_saleorder_hubi_document,<strong>Code FRS :</strong>,<strong>Code FRS :</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_invoice_document_hubi,<strong>Code IFLS :</strong>,<strong>Code IFLS :</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_saleorder_hubi_document,<strong>Code IFLS :</strong>,<strong>Code IFLS :</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_invoice_document_hubi,<strong>Customer Code:</strong>,<strong>Numéro de client :</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_saleorder_hubi_document,<strong>Date Ordered:</strong>,<strong>Date de commande:</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_invoice_document_hubi,<strong>Description:</strong>,<strong>Description :</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_invoice_document_hubi,<strong>Discount</strong>,<strong>Remise</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_invoice_document_hubi,<strong>Due Date:</strong>,<strong>Date d'échéance :</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_saleorder_hubi_document,<strong>Fiscal Position Remark:</strong>,<strong>Remarque sur le régime fiscal :</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_invoice_document_hubi,<strong>Invoice Date:</strong>,<strong>Date de la facture :</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_invoice_document_hubi,<strong>Packaging Date:</strong>,<strong>Date Emballage:</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_saleorder_hubi_document,<strong>Packaging Date:</strong>,<strong>Date Emballage:</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_saleorder_hubi_document,<strong>Payment Terms:</strong>,<strong>Conditions de paiement:</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_saleorder_hubi_document,<strong>Quotation Date:</strong>,<strong>Date du devis :</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_invoice_document_hubi,<strong>Reference:</strong>,<strong>Référence :</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_saleorder_hubi_document,<strong>Salesperson:</strong>,<strong>Vendeur :</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_invoice_document_hubi,<strong>Sending Date:</strong>,<strong>Date Envoi:</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_saleorder_hubi_document,<strong>Sending Date:</strong>,<strong>Date Envoi:</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_saleorder_hubi_document,<strong>Shipping address:</strong>,<strong>Adresse de livraison:</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_invoice_document_hubi,<strong>Source:</strong>,<strong>Origine :</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_saleorder_hubi_document,<strong>Subtotal: </strong>,<strong>Sous-total : </strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_invoice_document_hubi,<strong>Subtotal</strong>,<strong>Sous-total</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_saleorder_hubi_document,<strong>Subtotal</strong>,<strong>Sous-total</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_account_invoice_summary,<strong>TOTAL GENERAL  : </strong>,<strong>TOTAL GENERAL  : </strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_invoice_document_hubi,<strong>Total Quantity Shell : </strong>,<strong>Total Quantité Coquillage : </strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_saleorder_hubi_document,<strong>Total Quantity Shell : </strong>,<strong>Total Quantité Coquillage : </strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_invoice_document_hubi,<strong>Total Weight Shell : </strong>,<strong>Total Poids Coquillage : </strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_saleorder_hubi_document,<strong>Total Weight Shell : </strong>,<strong>Total Poids Coquillage : </strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_invoice_document_hubi,<strong>Total before discount</strong>,<strong>Total avant remise</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_invoice_document_hubi,<strong>Total</strong>,<strong>Total</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_saleorder_hubi_document,<strong>Total</strong>,<strong>Total</strong>,
hubi,model,"ir.ui.view,arch_db",hubi.report_saleorder_hubi_document,<strong>Your Reference:</strong>,<strong>Votre référence : </strong>,
hubi,sql_constraint,hubi.department,0,A department already exists with this code. It must be unique !,Un departement existe  déjà avec ce code. Il doit être unique !,
hubi,sql_constraint,hubi.labelmodel,0,A label model already exists with this code. It must be unique !,Une étiquette modèle existe  déjà avec ce code. Il doit être unique !,
hubi,sql_constraint,hubi.module_option,0,A module_option already exists with this code in this company. It must be unique !,Un module_option existe  déjà avec ce code. Il doit être unique !,
